"","X","r_stele","radius","CF","OneC","nX","X_size","aerenchyma","TCA","Accession","id","rep","kr1_new","kr2_new","kr3_new","Kr1","Kr2","Kr3","Kx"
"1",1,0.210345131104922,0.446031029038193,7.5,0.0314247863911028,6.94138932646243,0.080124600964244,0.195,0.486,"NSL_6547",1,1,0.000147352902625966,5.93013947076998e-05,5.28497748718568e-05,0.000412955862464639,0.000166191898228402,0.000148111261972683,7.51730335399382
"2",2,0.305913560565782,0.557948983947231,8,0.0315044279226811,10.0951474986708,0.0840412954997847,0.0073,0.684,"PI_217404",2,2,0.000147213405211867,5.85163109016842e-05,5.22768022820275e-05,0.000516085572120416,0.000205140447275229,0.000183266621511254,4.5692292123638
"3",3,0.276395319577068,0.552790639154137,10,0.0276395319577068,9.12104554604326,0.0851989846112716,0.0913,0.72,"PI_490825",3,3,0.000147384321120453,5.87353833562929e-05,5.24462842511142e-05,0.000511907902391895,0.000204004786001157,0.000182160945988924,6.14965866123365
"4",4,0.274082347369134,0.539679113787229,10.8,0.0245922931868606,9.04471746318142,0.0887874473834955,0.0687,0.679,"PI_516002",4,4,0.000151051940184306,5.99372365770701e-05,5.34194320678337e-05,0.000512202609801686,0.000203241407966146,0.000181140159377517,5.87777044184903
"5",5,0.347331897273568,0.659884781078808,10.7,0.0292105498883401,11.4619526100278,0.089431806457767,0.1109,0.989,"PI_516008",5,5,0.000147370734678096,5.85868512742328e-05,5.23314301957597e-05,0.000611025351153108,0.000242911534986829,0.00021697544347291,4.14251372520854
"6",6,0.321637549129034,0.563907418197001,9.3,0.0260505235556953,10.6140391212581,0.0929353557062553,0.1551,0.674,"PI_516018",6,6,0.000152946992843228,6.08204126894291e-05,5.41065250959497e-05,0.000541911813605568,0.00021549492103157,0.000191706712224774,4.53584833708318
"7",7,0.164488116061989,0.370823233942262,8.3,0.0248596527566595,5.42810783004562,0.0612619501324817,0.0075,0.347,"PI_516025",7,7,0.000146747076264412,5.91864413764215e-05,5.27405271309777e-05,0.000341913511040125,0.000137901513898103,0.000122882848943224,6.70341107434426
"8",8,0.363015554597994,0.654070704917301,11.2,0.0259870669927952,11.9795133017338,0.0886852372405999,0.0068,0.93,"PI_516049",8,8,0.000134601294698106,5.55423279191866e-05,4.99696932929975e-05,0.000553163866579617,0.000228259385910963,0.000205357822268711,2.58742879571493
"9",9,0.31362039925807,0.575639289414236,9.8,0.0267366214445067,10.3494731755163,0.0830022664245856,0.072,0.732,"PI_516052",9,9,0.000122542882508251,5.46220190395413e-05,4.9352818250813e-05,0.000443219019399806,0.000197559558097656,0.000178501658048311,23.2906299512563
"10",10,0.296937431916069,0.563625111586969,10.7,0.0249240822122337,9.79893525323027,0.0875571508748042,0.0217,0.721,"PI_516060",10,10,0.000120225037888823,5.41723631621751e-05,4.90212588434258e-05,0.000425760262793156,0.000191843895257348,0.00017360197521359,19.4045752793214
"11",11,0.267618617422916,0.500191533855242,8.8,0.0264287405036734,8.83141437495622,0.0898532813089442,0.0632,0.561,"PI_516061",11,11,0.000112957346924399,5.23332006219514e-05,4.75182510603981e-05,0.000355001908961826,0.000164472578621285,0.000149340173935379,25.1475242998308
"12",12,0.21704806646271,0.473045293800926,9.7,0.0263914667358986,7.16258619326943,0.0884395383558856,0.0139,0.555,"PI_516074",12,12,0.000130764096901608,5.60993490324916e-05,5.05366774924768e-05,0.000388661133834328,0.000166740237717864,0.000150206691590773,7.82084126378254
"13",13,0.328492087296338,0.575362739175159,9,0.0274300724309801,10.8402388807792,0.0975389648924952,0.0771,0.702,"PI_492020",13,13,0.000124800536660217,5.50756362635706e-05,4.97271537961188e-05,0.000451167756579775,0.000199104522466047,0.000179769166220614,14.8150451499053
"14",14,0.302775902642419,0.545545363450047,8.8,0.0275874387281396,9.99160478719983,0.0814027557499702,0.1571,0.647,"Ames_16950",14,14,0.00012164548968646,5.40718542325744e-05,4.88976752253906e-05,0.000416971861469242,0.000185345480301516,0.000167609622952745,15.4472114290164
"15",15,0.259772392434153,0.463529042427827,8.2,0.0248483719504481,8.57248895032705,0.092010845212891,0.0729,0.462,"PI_240318",15,15,0.000123607267463956,5.52545614986063e-05,4.98922657466831e-05,0.00035999861023233,0.000160925532588895,0.000145308174014812,23.6767228078148
"16",16,0.282658418293408,0.547292977205945,10.1,0.0262014414764888,9.32772780368248,0.0834357578920487,0.0351,0.69,"PI_471893",16,16,0.000119308980250888,5.28120310163016e-05,4.76455194021812e-05,0.000410272943713796,0.00018160701217125,0.000163840705526106,11.3998925879285
"17",17,0.267618617422916,0.539973939875206,10.2,0.0267015022012049,8.83141437495622,0.0874133698282769,0.0173,0.691,"PI_235282",17,17,0.000111872178612097,5.07305532373414e-05,4.60316281835431e-05,0.000379555041609469,0.000172116405381135,0.000156174097682826,12.5220880245018
"18",18,0.301194816626018,0.57175541371355,9.8,0.0276082241926054,9.93942894865858,0.0898348024840476,0.1207,0.742,"PI_485717",18,18,0.000138921496807404,5.44603724132072e-05,4.89773171205957e-05,0.000499067866431021,0.000195645904269077,0.00017594832852095,3.11730864025423
"19",19,0.321142340907499,0.625207597709509,10,0.030406525680201,10.5976972499475,0.0917061212173626,0.1443,0.904,"PI_485104",19,19,0.000147676510595495,5.86993400375721e-05,5.24392909243024e-05,0.000580116926523749,0.000230588335235269,0.00020599701440277,5.10004757669714
"20",20,0.280397114620312,0.53195628468643,9.5,0.0264799126385387,9.25310478247029,0.0901026003940306,0.0115,0.642,"NSL_6549",20,20,9.91047765996645e-05,4.25086680802758e-05,3.9251542654694e-05,0.000331245814490325,0.000142080118277543,0.000131193567684202,1.45222988330535
"21",21,0.369102467191243,0.686134332085071,11.8,0.0268671071943922,12.180381417311,0.101728399694615,0.0367,1.051,"PI_583917",21,21,0.000153594360154727,6.09290453475286e-05,5.41702393104596e-05,0.000662162052082467,0.000262671765148816,0.000233533814571565,5.30298169549181
"22",22,0.293161507141752,0.530158117452036,9.3,0.0254835064849768,9.67432973567782,0.0917771576692239,0.0523,0.613,"PI_467154",22,22,0.000162899304278739,6.27582414962397e-05,5.54705733032126e-05,0.000542630890457467,0.000209052829399309,0.000184777011289157,8.50824126963519
"23",23,0.278117425456696,0.534939798182214,8.8,0.0291843605369906,9.17787504007098,0.0832854221353251,0.2151,0.656,"PI_467167",23,23,0.000136881072626871,5.61922318832759e-05,5.02859484215924e-05,0.000460074515710798,0.000188869164847061,0.000169017402648411,4.1804615435116
"24",24,0.283220923164789,0.537610804071944,10.2,0.0249401844026623,9.34629046443803,0.0904088713362789,0.0237,0.656,"PI_467168",24,24,0.000154274469610231,5.96992950938592e-05,5.30741737977907e-05,0.000521125012165282,0.000201658744707705,0.00017927969245925,7.13131737061721
