"","Accession","Kr1","kr1","Kr2","kr2","Kr3","kr3","Kx","n"
"1","Ames_16950",0.000482031140072032,0.000140625590109539,0.000199423523032453,5.81789189054697e-05,0.000178093151993226,5.19560926909673e-05,8.01683003300855,3
"2","Ames_1903",0.000543481168781816,0.000169824664122841,0.000206012685232759,6.43739601008022e-05,0.000181449184688733,5.66984628265901e-05,7.08613702686495,2
"3","Ames_19097",0.000523304632790281,0.000146167076824283,0.000207595398775,5.79846053326909e-05,0.000185470624424971,5.18048136979461e-05,9.46321591685522,3
"4","Ames_19467",0.00047498001804632,0.000144149631466418,0.000184463413014894,5.59820034419669e-05,0.000165076559051789,5.0098370977659e-05,6.11857596821634,3
"5","Ames_19532",0.000450810402842866,0.000164177399373518,0.00016759557401681,6.10354271220813e-05,0.00014837167631313,5.40344140334087e-05,5.36032039924909,3
"6","Ames_19540",0.00039761202949281,0.000148305264856307,0.000149312901270104,5.56922017615335e-05,0.000133631580634788,4.98432277929044e-05,0.976672441550702,3
"7","Ames_19617",0.000502238124881616,0.000132986272768051,0.00020490138325188,5.42552822928532e-05,0.000184416969885202,4.88312699598258e-05,4.99827973852256,2
"8","Ames_19688",0.000463750374718424,0.000159230938606502,0.000175640390698642,6.03069793423638e-05,0.000155764671362524,5.34825547857453e-05,3.43304947446821,3
"9","Ames_19802",0.000450614895270718,0.000154606327259643,0.000172045668750826,5.90290051342268e-05,0.000153172530502815,5.2553616461965e-05,3.7795544497422,3
"10","Ames_19879",0.000446552021479314,0.000163721710873479,0.000166278291294575,6.09634824665724e-05,0.000147206985862472,5.39712696811705e-05,1.67843145153329,3
"11","Ames_19897",0.000538208140643899,0.000152359909534339,0.000214319867877368,6.06712407622467e-05,0.00019049301397323,5.39261601304688e-05,5.16778711052736,3
"12","Ames_19907",0.000443878044269327,0.000145757379233628,0.000171104010029035,5.61858654650288e-05,0.000153209087130599,5.03096634385073e-05,3.74211251102693,3
"13","Ames_19924",0.000589759028239451,0.000153807224432056,0.000235310466180237,6.13681994679033e-05,0.000208813567206625,5.44578949332636e-05,7.58007151471111,2
"14","Ames_19926",0.000593873115413294,0.000139220904922142,0.00024503442690265,5.74431031900215e-05,0.000218905054922923,5.13176283745246e-05,11.7075411206714,3
"15","Ames_19946",0.000549263402587689,0.000134708750815937,0.000225407248287465,5.52819079126879e-05,0.000202301394560944,4.96151173029886e-05,12.6378444916853,3
"16","Ames_19962",0.000458306544405009,0.000143034268259546,0.00017959593323448,5.60506351178857e-05,0.000160620149891817,5.01284258057905e-05,4.13188174584257,3
"17","Ames_19970",0.000546541774517407,0.000149397602005251,0.000213930447537649,5.84780475129392e-05,0.000190611661977797,5.21038400749208e-05,8.28924152047966,1
"18","Ames_19981",0.000502639303113836,0.000138904927805394,0.00020341796675523,5.6214780283618e-05,0.000182489726870858,5.04312380253352e-05,8.30050259742655,3
"19","AMES19907_obs",0.000423160178795903,0.000138954208918992,0.000165636918448073,5.43906258765254e-05,0.000149006437754952,4.89296316609763e-05,3.15371319130439,3
"20","AMES19907_pred",0.000516837137631784,0.000148344788507781,0.000205052838731747,5.88551359408165e-05,0.000183116607854618,5.25589058652528e-05,5.13900365799548,3
"21","cluster_1",0.000512584236821399,0.000147124102869454,0.000206343263555767,5.922551914989e-05,0.000183941195679373,5.2795582561958e-05,7.50373541497699,3
"22","cluster_2",0.000514550077383824,0.000147688346769978,0.00020457937112931,5.87192392603447e-05,0.000182694117197381,5.24376408039192e-05,4.56510460444214,3
"23","cluster_3",0.000513950980934489,0.000147516391564747,0.000204511189017181,5.86996693411818e-05,0.000182622517735379,5.2417090022494e-05,6.12771741817687,3
"24","cluster_4",0.000526140487312396,0.000151015075413069,0.000208738529740159,5.99130186147535e-05,0.000186023671461512,5.33933035982007e-05,5.84058837207995,2
"25","cluster_5",0.000514289553626062,0.000147613570135459,0.000204540252995851,5.87080114076763e-05,0.000182658107999496,5.24273052911326e-05,4.124452302326,3
"26","cluster_6",0.000534136108609693,0.000153310012568264,0.000212107759448027,6.08800692232645e-05,0.000188605942607649,5.41344780207641e-05,4.58157141731074,3
"27","cluster_7",0.000512040649303509,0.000146968080073286,0.000206193787587005,5.91826159230156e-05,0.000183691845759795,5.27240130898923e-05,6.76800758602861,3
"28","CONICO",0.000524831330460558,0.000134424395388419,0.000216496806010775,5.54510574396993e-05,0.000194751358740467,4.98814230979448e-05,2.54692936991852,3
"29","GORDO",0.000660421744644767,0.000122303020449862,0.000294697144697183,5.45747489489495e-05,0.000266396231700863,4.93337235450989e-05,23.3309556441305,2
"30","JALA",0.000677046034385237,0.000120474902566831,0.000304979116211808,5.42685835888516e-05,0.000275893707634895,4.90930687989279e-05,19.7255417525406,1
"31","NALTEL",0.000665959106648219,0.000112857720511427,0.000308623174936807,5.23012714634535e-05,0.00028021556866585,4.74871354948619e-05,25.1607308457532,3
"32","NSL_106891",0.000533856834115335,0.000131678843219483,0.000223282380866554,5.50738770114686e-05,0.000200429115214557,4.94369882567722e-05,12.2495350048568,2
"33","NSL_6544",0.000439151332243202,0.000139202386777544,0.0001729163901663,5.48111151141305e-05,0.000154933204985208,4.91107969885233e-05,2.41628955925945,2
"34","NSL_6547",0.000376874040327154,0.000134478012819921,0.000152634738702493,5.4463863656359e-05,0.000137114030940286,4.89256898526963e-05,4.11342300367435,3
