Accession,root_radius,TSA,MVA,NMV,AA,TSA_expected,MVA_expected,aerenchyma,radius,var_stele,var_xylem,r_stele,nX,ratio,PXA_1,k_protxyl_s,kx_unM,One_MXA,k_Mxyl_s,kx_M,kw,km,kAQP,kpl,thickness,kx_unM,kx_M,kr_1_noAA,kr_1_AA,kr_2,kr_3
cluster_1,0.5545,0.272345273,0.065135012,9.954524552,0.074971482,0.231932323,0.046668893,0.108090215,0.5545,0.174244578,0.395683675,0.294431983,10.29486751,2.406227295,158.4285714,0.043143055,0.020667982,6543.256954,73.59220878,14.67217696,0.00024,3.00E-05,0.00043,5.30E-12,1.5,0.020667982,14.67217696,0.000158619,0.000139195,5.73E-05,4.86E-05
cluster_2,0.5545,0.268850216,0.052496161,9.80308419,0.033506664,0.231932323,0.046668893,0.048066063,0.5545,0.159175283,0.124864073,0.292536633,10.23574584,2.428983666,158.4285714,0.043143055,0.020546044,5355.065812,49.29166772,9.684753416,0.00024,3.00E-05,0.00043,5.30E-12,1.5,0.020546044,9.684753416,0.000158465,0.000144578,6.03E-05,5.18E-05
cluster_3,0.5545,0.265715718,0.062755168,10.19080487,0.035362617,0.231932323,0.046668893,0.050501391,0.5545,0.145660574,0.344689451,0.290826306,10.18236,2.3240568,158.4285714,0.043143055,0.020436011,6158.018802,65.18173381,13.30552262,0.00024,3.00E-05,0.00043,5.30E-12,1.5,0.020436011,13.30552262,0.000158628,0.000143957,6.02E-05,5.17E-05
cluster_4,0.5545,0.280866031,0.062656072,10.44534349,0.02926234,0.231932323,0.046668893,0.042713741,0.5545,0.210982701,0.342566066,0.299002399,10.43726377,2.325784582,158.4285714,0.043143055,0.020962019,5998.469276,61.84787245,12.94140746,0.00024,3.00E-05,0.00043,5.30E-12,1.5,0.020962019,12.94140746,0.00015866,0.000145304,6.10E-05,5.22E-05
cluster_5,0.5545,0.269886587,0.044257473,7.81968,0.03540576,0.231932323,0.046668893,0.050865982,0.5545,0.163643702,-0.051670819,0.29309993,10.25332107,3.050448453,158.4285714,0.043143055,0.020582284,5659.755003,55.06037326,8.631672275,0.00024,3.00E-05,0.00043,5.30E-12,1.5,0.020582284,8.631672275,0.000158352,0.000143674,5.99E-05,5.15E-05
cluster_6,0.5545,0.290977298,0.052395852,9.769734398,0.030677435,0.231932323,0.046668893,0.04545014,0.5545,0.254578465,0.122714697,0.304336903,10.60316872,2.527331705,158.4285714,0.043143055,0.021305214,5363.078449,49.43928559,9.681478995,0.00024,3.00E-05,0.00043,5.30E-12,1.5,0.021305214,9.681478995,0.000158529,0.000144972,6.05E-05,5.20E-05
cluster_7,0.5545,0.287554883,0.062694445,10.02844364,0.084896735,0.231932323,0.046668893,0.12514418,0.5545,0.239822372,0.343388306,0.302541835,10.54737688,2.448786684,158.4285714,0.043143055,0.021189728,6251.662496,67.17921662,13.49524948,0.00024,3.00E-05,0.00043,5.30E-12,1.5,0.021189728,13.49524948,0.000158691,0.000138928,5.67E-05,4.82E-05
CONICO,0.62138647,0.314940129,0.043989574,9.920716519,0.050066639,0.30097695,0.058019679,0.055747584,0.62138647,0.04639285,-0.241816312,0.316620524,10.98400818,2.58118718,177.5389914,0.05417905,0.027747504,4434.112624,33.79537943,6.733235083,0.00024,3.00E-05,0.00043,5.30E-12,1.5,0.027747504,6.733235083,0.000153415,0.000138057,5.81E-05,5.00E-05
GORDO,0.859417738,0.680699575,0.120626108,11.73968087,0.090842958,0.632121615,0.103211513,0.055402955,0.859417738,0.076849072,0.168727256,0.465481905,15.4887606,3.126688984,245.5479251,0.10363738,0.076082959,10275.07556,181.473801,42.68497317,0.00024,3.00E-05,0.00043,5.30E-12,1.5,0.076082959,42.68497317,0.000147271,0.000130374,5.53E-05,4.79E-05
JALA,0.894420504,0.717106515,0.11440174,11.4134055,0.114641853,0.692581866,0.110298381,0.063827146,0.894420504,0.035410469,0.03720235,0.477767824,15.85282382,3.296331575,255.5487154,0.112251277,0.084463179,10023.45353,172.6945571,39.50512332,0.00024,3.00E-05,0.00043,5.30E-12,1.5,0.084463179,39.50512332,0.00014706,0.00012886,5.41E-05,4.67E-05
NALTEL,0.93915315,0.819374189,0.140323797,13.40379719,0.168874907,0.774403836,0.119466269,0.08653428,0.93915315,0.058070933,0.174589264,0.510700406,16.82378729,2.990034968,268.3294715,0.123760096,0.099200703,10468.95852,188.386963,50.6012136,0.00024,3.00E-05,0.00043,5.30E-12,1.5,0.099200703,50.6012136,0.000145661,0.000124165,5.16E-05,4.46E-05
PALOME,0.75082691,0.500031094,0.075250464,11.62670478,0.03880328,0.46405354,0.081839908,0.030529397,0.75082691,0.077528888,-0.080516268,0.398954685,13.49846086,2.73044357,214.5219742,0.079101999,0.050223538,6472.209095,72.00273047,16.79331335,0.00024,3.00E-05,0.00043,5.30E-12,1.5,0.050223538,16.79331335,0.000147397,0.000136183,5.92E-05,5.18E-05
REVENT,0.8270477,0.651351003,0.106990701,13.18281721,0.049173904,0.578960262,0.096735855,0.032836823,0.8270477,0.125035769,0.10600873,0.455336649,15.18734708,2.727027156,236.2993429,0.095977385,0.069007549,8115.920805,113.2190452,29.91992712,0.00024,3.00E-05,0.00043,5.30E-12,1.5,0.069007549,29.91992712,0.000147242,0.000135166,5.80E-05,5.08E-05
TABLON,0.817158705,0.599652473,0.101371898,11.33038684,0.087382145,0.563242188,0.094773982,0.058327056,0.817158705,0.064644101,0.069617374,0.436892791,14.63750735,3.051504504,233.4739158,0.093695907,0.064790207,8946.905273,137.5908538,31.24394219,0.00024,3.00E-05,0.00043,5.30E-12,1.5,0.064790207,31.24394219,0.000147124,0.000130038,5.54E-05,4.79E-05
ZAPCHI,0.873869623,0.716982039,0.127848577,12.333088,0.083182551,0.656707696,0.106127487,0.049451924,0.873869623,0.091782606,0.204669787,0.477726356,15.85159675,3.050272334,249.6770351,0.107152198,0.080619765,10366.30702,184.710686,45.64168265,0.00024,3.00E-05,0.00043,5.30E-12,1.5,0.080619765,45.64168265,0.000147223,0.00013151,5.57E-05,4.86E-05
TBL_MT,0.6831611,0.405323251,0.081791067,10.14583333,0.28053741,,,,,,,,,,,,,,,,,,,,,,,,,,
TBL_WT,0.801566516,0.518776944,0.092365821,11.21666667,0.270297069,,,,,,,,,,,,,,,,,,,,,,,,,,
AMES19907_obs,0.4846779,0.173,0.03743471,7,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,
AMES19907_pred,0.5545,0.2704411,0.05298422,8.933722,0.02459092,,,,,,,,,,,,,,,,,,,,,,,,,,
PI629263_obs,0.6489407,0.201,0.03511009,8.833333,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,
PI629263_pred,0.5545,0.2904786,0.05561498,9.619483,0.02743314,,,,,,,,,,,,,,,,,,,,,,,,,,
