"","Genotype","Treatment","Roottype","Type","Filename","Root area","Metaxylem number","Total Metaxylem area","Cortical cell size","Cortical file number","Stele area","Cortex area","Aerenchyma area","Aerenchyma percent","RXA","TSA","TCA","AA","aerenchyma","radius","r_stele","MXA","nX","X_size","CF","OneC","OC","ratio","nPX","PXA_1","k_protxyl_s","kx_unM","LMXA","LMXA_1","k_Mxyl_s","kx_M","m_CF","m_OC","m_aerenchyma","id","model_RXA","model_TSA","model_XVA","model_AA","Kx","Kr1","Kr2","Kr3","kr1_new","kr2_new","kr3_new"
"1","GBL","non-sheltered","CR5","Landrace","GBL-WW-CR5-2(yellowx10).tif",1.22682941436037,5,0.0833388899327573,0.00402377541104983,5,0.551052205641941,0.675777208718426,0.0309291978617231,4.57683352778034,1.22682941436037,0.551052205641941,0.675777208718426,0.0309291978617231,0.0457683352778034,0.624909538454947,0.418814236695952,0.0833388899327573,5,0.145677980681171,5,0.041219060351799,0.0715767418403606,6.64535789761004,33.2267894880502,178.545582415699,0.0547951481883456,0.0364133370764135,0.0833388899327573,16667.7779865515,477.528505337637,47.7892638708401,5,0.0890170165055949,0.0340597762993061,1,1.30106857274435,0.573264014506196,0.0714826792644818,0.0336222384269605,35.2475514187089,6.35233235738365e-05,2.62783245151323e-05,2.33965551562015e-05,0.000161784231576918,6.69268907800127e-05,5.95874630692662e-05
"2","GBL","non-sheltered","CR5","Landrace","GBL-WW-CR5-1(yellowx10).tif",1.23204883470135,5,0.0520976955369253,0.00131758409029773,4,0.511371406473933,0.720677428227417,0.0161080178165125,2.23512173208087,1.23204883470135,0.511371406473933,0.720677428227417,0.0161080178165125,0.0223512173208087,0.626237434482049,0.403453311043995,0.0520976955369253,5,0.115180593979356,5,0.0445568246876108,0.0409585176401805,6.41629577428805,32.0814788714403,178.924981280585,0.0550282685453355,0.0353077646933824,0.0520976955369253,10419.5391073851,186.612574824385,18.6965652471319,5,0.0890170165055949,0.0340597762993061,2,1.30649358595754,0.529203197881814,0.0446380292873857,0.0176592682140523,13.7183297706395,6.00824750275464e-05,2.50736298039289e-05,2.25219875115882e-05,0.000152696443350409,6.37233085219843e-05,5.7238444132422e-05
"3","GBL","non-sheltered","CR5","Landrace","GBL-WW-CR5-4(yellowx10).tif",1.41171572720198,9,0.0811921807402592,0.0026188901225034,7,0.397477850700819,1.01423787650116,NA,NA,1.41171572720198,0.397477850700819,1.01423787650116,NA,0.0340597762993061,0.670345487379105,0.355698087452203,0.0811921807402592,9,0.107174362212955,7,0.044949628560986,0.0577449085832478,3.16898326671514,28.5208494004363,191.527282108316,0.0630529163764641,0.0359664546446287,0.0811921807402592,9021.35341558436,139.890196687897,25.2162018584661,5,0.0890170165055949,0.0340597762993061,3,1.5370048376127,0.437533393272366,0.0698212883990442,0.0359470595236711,18.6652645473324,4.86857304876509e-05,2.14419887183343e-05,1.96755348798448e-05,0.000115590763435204,5.09080550028914e-05,4.67141003118792e-05
"4","GBL","non-sheltered","CR5","Landrace","GBL-WW-CR5-3(yellowx10).tif",1.5484381642016,8,0.0559115993220248,0.00285028705763628,5,0.446333729209116,1.10210443499249,NA,NA,1.5484381642016,0.446333729209116,1.10210443499249,NA,0.0340597762993061,0.702056390761917,0.376924977342362,0.0559115993220248,8,0.0943324303104384,5,0.065026282683911,0.0602419969425761,3.76294078883082,30.1035263106465,200.587540217691,0.0691594916740346,0.0416388915448049,0.0559115993220248,6988.9499152531,83.959094014099,13.4750939338006,5,0.0890170165055949,0.0340597762993061,4,1.71483169226802,0.493986721917412,0.0480759659935349,0.0422731975428485,9.95421719623156,4.77892708686684e-05,2.19939976102689e-05,2.05027190165554e-05,0.000108337432513814,4.98600038983579e-05,4.64793016807047e-05
"5","BS","sheltered","CR5","Landrace","BS-DS-CR5-7.tif",2.95510150758519,12,0.21991079326985,NA,NA,1.59634481318984,1.35875669439536,NA,NA,2.95510150758519,1.59634481318984,1.35875669439536,NA,0.107105637260228,0.969864951702551,0.712834017002935,0.21991079326985,12,0.152752282663046,7.8,0.0329526839358482,0.0486998152602423,4.59574202564491,55.1489043077389,277.104271915015,0.131986748218095,0.145578490947386,0.21991079326985,18325.8994391542,577.264014575314,138.688941989023,7.8,0.0486998152602423,0.107105637260228,5,2.89419274084775,1.63156298273255,0.187971443693054,0.135966731598742,101.445718348771,0.000108110970087211,4.57405761617013e-05,3.98823158251731e-05,0.000177410218418912,7.50603347736885e-05,6.5446923248291e-05
"6","BS","sheltered","SR","Landrace","BS-DS-SR-2.tif",3.04054025956341,7,0.129322634008028,0.00133799658997141,7,1.3477362848604,1.69280397470301,0.220512260174355,13.026449811653,3.04054025956341,1.3477362848604,1.69280397470301,0.220512260174355,0.13026449811653,0.983785557913341,0.654979223670248,0.129322634008028,7,0.153371021498444,7,0.046972333463299,0.041274570489254,7.26217870240767,50.8352509168537,281.08158797524,0.135802787368179,0.13807137542139,0.129322634008028,18474.6620011468,586.674065652559,82.2724405667797,8.125,0.0498733406134783,0.0560689678901301,6,3.17831215366513,1.39000740991043,0.110570111339693,0.228979967467262,60.2465566883919,7.82680906177893e-05,3.72200243958063e-05,3.36986414118281e-05,0.000126620617755428,6.02138425080979e-05,5.45170165696428e-05
"7","BS","sheltered","CR4","Landrace","BS-DS-CR4-5.tif",3.23001452246784,12,0.221976980643699,0.00270001648591223,8,1.18469728435677,2.04531723811106,0.0486500867537398,2.37860835704246,3.23001452246784,1.18469728435677,2.04531723811106,0.0486500867537398,0.0237860835704246,1.01397512544378,0.614085383107146,0.221976980643699,12,0.153468202400494,8,0.0499862177920792,0.0586324804293689,3.98218384703907,47.7862061644688,289.707178698223,0.144265471904593,0.137877991656945,0.221976980643699,18498.0817203082,588.162423119085,141.296859540237,8.14285714285714,0.0525560395837794,0.0979241578370994,7,3.10166142680295,1.24971353972665,0.190131743511907,0.0452909197109013,103.731992373344,7.88687914666421e-05,3.72750773264303e-05,3.39878794488441e-05,0.000123793549788574,5.85074787513902e-05,5.33478473362699e-05
"8","BS","sheltered","SR","Landrace","BS-DS-SR-3.tif",3.2641315485158,7,0.113291688752085,0.0011762286153457,6,1.06705809294834,2.19707345556746,0.210806035198413,9.59485604198728,3.2641315485158,1.06705809294834,2.19707345556746,0.210806035198413,0.0959485604198728,1.01931611470485,0.582799399551749,0.113291688752085,7,0.143550617358967,6,0.0727527858588497,0.0386991057610796,6.4933604615112,45.4535232305784,291.233175629956,0.145789275846821,0.132532724729454,0.113291688752085,16184.5269645836,450.239826270073,63.1661084025397,8.125,0.0498733406134783,0.0560689678901301,8,3.06892515358562,1.15182499284155,0.0958429907568172,0.190552156695977,45.3254820967182,6.90575267668236e-05,3.45490084248717e-05,3.21945417396208e-05,0.000107825693953866,5.39444573711468e-05,5.02682179210193e-05
"9","PM","sheltered","SR","Modern","PM-DS-SR-5.tif",3.33254086676255,5,0.0486415790239084,0.00347029892756034,7,0.507582051410559,2.82495881535199,0.163175255225601,5.77619943833658,3.33254086676255,0.507582051410559,2.82495881535199,0.163175255225601,0.0577619943833658,1.02994208769329,0.401955700312149,0.0486415790239084,5,0.11129454787329,7,0.089712341054449,0.0664719627107689,6.39396340305476,31.9698170152738,294.269167912369,0.148844711824241,0.0951707640142431,0.0486415790239084,9728.31580478169,162.674397892701,16.3626105532843,10,0.0646778613399488,0.0670194084649602,9,3.66925348278761,0.578177200869206,0.0414390056530587,0.178911962909929,11.8678651038841,3.86734588934572e-05,2.06561152270653e-05,1.99631052465342e-05,5.9761342146335e-05,3.19194922000527e-05,3.08485973863398e-05
"10","BS","non-sheltered","CR5","Landrace","BS-WW-CR5-3.tif",3.42655166285346,11,0.174513174000483,0.00186986607599325,7,1.29083298582053,2.13571867703293,0.351985970478613,16.4809145635048,3.42655166285346,1.29083298582053,2.13571867703293,0.351985970478613,0.164809145635048,1.04436835925155,0.641003042737564,0.174513174000483,11,0.142125768316357,7,0.0576236166448544,0.0487933133873215,4.52665335150116,49.7931868665128,298.390959786156,0.153043613026648,0.152410584443243,0.174513174000483,15864.8340000439,432.628326537266,95.3306424226418,7.375,0.0541338319466108,0.139974159981116,10,3.59972653341485,1.33671818523373,0.150297867763568,0.369525723904851,70.764601169887,6.64318482308769e-05,3.40410917575044e-05,3.1479343903847e-05,0.000101237814522185,5.18764090606337e-05,4.79724720038195e-05
