"","X","r_stele","radius","CF","OneC","nX","X_size","aerenchyma","TCA","Accession","id","rep","Trt","Roottype"
"1",1,0.509302500580764,0.950260186057048,8,0.0435332449422408,13,0.182930220080883,0.0883548446482102,6.35213053155077,"W2","W2-DS-CR4-1.tif",1,"sheltered","CR4"
"2",2,0.533458911074744,0.988157298591817,10,0.0646924227787085,13,0.130540522173528,0.119621192210371,6.82854672718331,"W2","W2-DS-CR4-4.tif",2,"sheltered","CR4"
"3",3,0.544935999724842,0.995055692605334,10,0.0735814344010918,13,0.184905797516147,0.0756131222739809,6.84141817802962,"W2","W2-DS-CR4-5.tif",3,"sheltered","CR4"
"4",4,0.372145102308839,0.754111510993458,7,0.0557308911703916,11,0.158205072293705,0.123509547601571,4.2458267696413,"W2","W2-DS-CR5-1.tif",4,"sheltered","CR5"
"5",5,1.05629150261469,1.80711611960167,10,0.0875380851989495,29,0.177779498883341,0.00577994604799027,21.2188296064264,"W2","W2-WW-CR1-3.tif",5,"non-sheltered","CR1"
"6",6,0.911810234624273,1.48538010518598,NA,NA,21,0.201750075176299,NA,13.5702732981319,"W2","W2-WW-CR2-3.tif",6,"non-sheltered","CR2"
"7",7,0.492573503164495,0.917248266224538,10,0.0519018359130918,14,0.216603476013307,NA,5.90908736306946,"W2","W2-WW-CR3-1.tif",7,"non-sheltered","CR3"
"8",8,0.502634283940916,0.939843383835977,10,0.0607349138037499,13,0.168427160304735,0.111822737861375,6.22440777018257,"W2","W2-WW-CR3-2.tif",8,"non-sheltered","CR3"
"9",9,0.47261801203463,0.954787230543782,7,0.0706103408387641,13,0.203232821199051,NA,6.79276381866417,"W2","W2-WW-CR3-3.tif",9,"non-sheltered","CR3"
"10",10,0.497901368033381,0.942660747597906,10,0.0683768688759385,13,0.206556510341604,0.0114148504778995,6.32349020945121,"W2","W2-WW-CR3-4.tif",10,"non-sheltered","CR3"
"11",11,0.407729199603711,0.788054956469672,10,0.059984583256218,13,0.185637854621303,NA,4.48857285177724,"W2","W2-WW-CR4-1.tif",11,"non-sheltered","CR4"
"12",12,0.390114797089307,0.794622789524171,8,0.052697545303307,13,0.19817521616377,NA,4.72986798510802,"W2","W2-WW-CR4-3.tif",12,"non-sheltered","CR4"
"13",13,0.363512174733708,0.777353592305388,7,0.106056673923835,9,0.201136511666828,0.179775787511887,4.6598104100037,"W2","W2-WW-CR5-1.tif",13,"non-sheltered","CR5"
"14",14,0.367968853486887,0.783919967002714,8,0.0820211093185511,9,0.173465331009121,0.0945745511702825,4.72881800532851,"W2","W2-WW-CR5-2.tif",14,"non-sheltered","CR5"
"15",15,0.366634395909496,0.823941541347999,8,0.0810351247177177,9,0.201608889919949,0.117361952524681,5.37359379078048,"W2","W2-WW-CR5-3.tif",15,"non-sheltered","CR5"
"16",16,0.381975827241355,0.865285298764475,NA,0.101318174961747,9,0.199515161086039,0.113181378390401,5.94952697936426,"W2","W2-WW-CR5-4.tif",16,"non-sheltered","CR5"
"17",17,0.381623269394991,0.724755935651033,8,0.0836900024205879,14,0.156470870098494,0.0789254630410547,3.74684575199781,"W2","W2-WW-CR5-6.tif",17,"non-sheltered","CR5"
"18",18,0.358509219689798,0.733631193576269,11,0.0790304138194315,10,0.172299158752638,0.187944934933738,4.04343744178649,"W2","W2-WW-CR5-7.tif",18,"non-sheltered","CR5"
"19",19,0.386842790478963,0.788122405488884,9,0.0747062122027269,9,0.200743961173734,0.153693134039776,4.65341564852207,"W2","W2-WW-CR5-8.tif",19,"non-sheltered","CR5"
"20",20,0.226757222276412,0.725491494549731,8,0.0984378390847857,6,0.145291223005771,0.0920497760791459,4.6872633514226,"W2","W2-WW-SR-1.tif",20,"non-sheltered","SR"
"21",21,0.296518952903391,0.751295058704762,10,0.0886850498081624,6,0.137032715551081,0.101738405311207,4.70307154607845,"W2","W2-WW-SR-2.tif",21,"non-sheltered","SR"
"22",22,0.259268864833995,0.702600998846052,8,0.100800698190832,6,0.160300209437593,0.093224983620279,4.20867388218089,"W2","W2-WW-SR-3.tif",22,"non-sheltered","SR"
"23",23,0.265080478929856,0.61843306918873,8,0.0561411676056641,6,0.146103328416367,0.0376570986980558,3.08120957073047,"W2","W2-WW-SR-4.tif",23,"non-sheltered","SR"
"24",24,0.277381539382214,0.702064019582293,9,0.0821158161120625,6,0.141480822206333,0.0756503746871139,4.105295203324,"W2","W2-WW-SR-5.tif",24,"non-sheltered","SR"
"25",25,0.304873820377701,0.758735657761904,10,0.0560241304006423,6,0.130449583035133,0.0372819414150397,4.76437142416072,"W2","W2-WW-SR-8.tif",25,"non-sheltered","SR"
"26",26,0.227897475290379,0.631829112817837,9,0.073268593234049,6,0.130662814072766,0.0833507113273187,3.42742510575386,"W2","W2-WW-SR-9.tif",26,"non-sheltered","SR"
"27",27,0.715379975096696,1.52923855648628,14,0.094616466637877,18,0.211063565084598,NA,18.0298135908427,"GBL","GBL-DS-CR2-3.tif",27,"sheltered","CR1"
"28",28,0.564822218889031,1.1376777982608,NA,0.0545109757634473,22,0.155061650746917,NA,9.62569325233658,"GBL","GBL-DS-CR3-1.tif",28,"sheltered","CR3"
"29",29,0.675706036642321,1.34654553540121,17,0.0685825815093049,22,0.188619712619058,NA,13.3891668275694,"GBL","GBL-DS-CR3-4.tif",29,"sheltered","CR3"
"30",30,0.428407914361194,0.942680131595319,9,0.0989851854736695,9,0.236995430141502,0.121882551775633,6.95918132881567,"GBL","GBL-DS-CR4-3.tif",30,"sheltered","CR4"
"31",31,0.407623225649202,0.813052535227566,10,0.0682444660501348,13,0.168836713661545,NA,4.88444482348621,"GBL","GBL-DS-CR4-2.tif",31,"sheltered","CR4"
"32",32,0.302510248755836,0.661365402919842,8,0.0658793810831344,9,0.16038701972015,NA,3.41381469444731,"GBL","GBL-DS-CR5-1.tif",32,"sheltered","CR5"
"33",33,0.278958448839473,0.62743793860764,7,0.0728678664602906,9,0.175697797292678,NA,3.11741868058177,"GBL","GBL-DS-CR5-2.tif",33,"sheltered","CR5"
"34",34,0.288975843490023,0.661927903434113,7,0.087692172218567,9,0.155450840290387,0.0128911941902482,3.50017141998449,"GBL","GBL-DS-CR5-3.tif",34,"sheltered","CR5"
"35",35,0.291061233481302,0.603420072045013,7,0.0901346597052076,9,0.180940949349962,0.0233213454195831,2.75755899869297,"GBL","GBL-DS-CR5-4.tif",35,"sheltered","CR5"
"36",36,0.31860388856411,0.721969683508777,10,0.0775780036457018,8,0.108253552215878,NA,4.14258668334589,"GBL","GBL-DS-SR-1.tif",36,"sheltered","SR"
"37",37,0.807894204379941,1.38899533520299,14,0.0817371325419493,25,0.17493930907601,0.0739497155818632,12.5996849805012,"GBL","GBL-WW-CR1-1.tif",37,"non-sheltered","CR1"
"38",38,0.829691479088455,1.47916252091232,NA,NA,20,0.258185353843021,0.202250177096919,14.7998055183903,"GBL","GBL-WW-CR2-1.tif",38,"non-sheltered","CR2"
"39",39,0.597768330354147,1.26304219126021,14,0.0641068059418023,19,0.128196261403138,NA,12.2180629521556,"GBL","GBL-WW-CR2-10.tif",39,"non-sheltered","CR2"
"40",40,0.5768914613159,1.22457625866342,15,0.0728194001330577,19,0.145713784579089,0.0200882767417995,11.5156891500758,"GBL","GBL-WW-CR2-11.tif",40,"non-sheltered","CR2"
"41",41,0.553941841381867,1.14397553141404,13,0.0776882196639277,20,0.137174846075404,NA,9.88765050729113,"GBL","GBL-WW-CR2-12.tif",41,"non-sheltered","CR2"
"42",42,0.593788230571848,1.22994185852414,10,0.0625431027203525,21,0.160554298265553,0.0921960778996646,11.4504437362236,"GBL","GBL-WW-CR2-13.tif",42,"non-sheltered","CR2"
"43",43,0.585895115437166,1.18145634374104,15,0.0867048951823408,21,0.14059963848341,NA,10.3884100839995,"GBL","GBL-WW-CR2-14.tif",43,"non-sheltered","CR2"
"44",44,0.695812832328796,1.38318171586602,0,0.0788722340877365,19,0.223550720877723,0.109177303485639,14.1040215885862,"GBL","GBL-WW-CR2-2.tif",44,"non-sheltered","CR2"
"45",45,0.681569908536851,1.34535423988622,13,0.067862982203337,19,0.198697087368457,0.140489359959809,13.2789653870041,"GBL","GBL-WW-CR2-3.tif",45,"non-sheltered","CR2"
"46",46,0.670707760494338,1.48843354051515,NA,NA,19,0.240524649769267,0.125301554252278,17.4256304661384,"GBL","GBL-WW-CR2-4.tif",46,"non-sheltered","CR2"
"47",47,0.673375824940769,1.34935038159741,16,0.0725013174224771,15,0.21592225154702,0.0677819296239765,13.4948231115124,"GBL","GBL-WW-CR2-6.tif",47,"non-sheltered","CR2"
"48",48,0.642799422350616,1.24503670596414,13,0.0702539876801612,17,0.200004980567085,0.00396636500151409,11.2210029625896,"GBL","GBL-WW-CR2-7.tif",48,"non-sheltered","CR2"
"49",49,0.723358404125948,1.31590417515201,13,0.07515691314501,16,0.200767051111183,0.0244767570848233,11.9259998148891,"GBL","GBL-WW-CR2-8.tif",49,"non-sheltered","CR2"
"50",50,0.449928161971884,0.897282323534939,8,0.0673541216683744,11,0.206624354304877,0.105785617066963,5.94821532405616,"GBL","GBL-WW-CR3-1.tif",50,"non-sheltered","CR3"
"51",51,0.485140135128331,0.9102418930154,8,0.0706420773078559,11,0.205149247933736,0.136903573872784,5.85444555387192,"GBL","GBL-WW-CR3-2.tif",51,"non-sheltered","CR3"
"52",52,0.445504417784842,0.828588839536553,10,0.0779054206118975,11,0.205565198473123,0.0732432403105411,4.8172086151466,"GBL","GBL-WW-CR3-3.tif",52,"non-sheltered","CR3"
"53",53,0.467957831691055,0.921417830909452,8,0.0713978648048244,11,0.223949606671247,0.149366631965462,6.21811021376209,"GBL","GBL-WW-CR3-4.tif",53,"non-sheltered","CR3"
"54",54,0.424245519932377,0.872370848615084,8,0.0599481078573523,11,0.192173867067231,0.0820201048772014,5.73470043916773,"GBL","GBL-WW-CR3-6.tif",54,"non-sheltered","CR3"
"55",55,0.464740513474667,0.992863417186313,9,0.0711040511588435,11,0.198872498565076,0.189971548918534,7.59756245090412,"GBL","GBL-WW-CR3-8.tif",55,"non-sheltered","CR3"
"56",56,0.450179181700138,1.00328319688661,9,0.0961551109730981,11,0.212993582294352,0.198384641326645,7.93433168286526,"GBL","GBL-WW-CR3-9.tif",56,"non-sheltered","CR3"
"57",57,0.594976305548085,1.13185014223604,9,0.0705908825059047,16,0.217469308970122,0.146496928527802,9.14999121594065,"GBL","GBL-WW-CR4-2.tif",57,"non-sheltered","CR4"
"58",58,0.692549089742427,1.3564376936296,8,0.0994847835549831,16,0.245023627828321,0.288912655031329,13.4256127504191,"GBL","GBL-WW-CR4-3.tif",58,"non-sheltered","CR4"
"59",59,0.64263395957646,1.42838167347004,12,0.0896639978163011,16,0.292000177877488,0.183611562034485,16.0607657807126,"GBL","GBL-WW-CR4-4.tif",59,"non-sheltered","CR4"
"60",60,0.631184518947751,1.37311315718468,11,0.0648501716986059,15,0.2193399261774,0.103519021882458,14.6765542211155,"GBL","GBL-WW-CR4-5.tif",60,"non-sheltered","CR4"
"61",61,0.227624155538875,0.353316637362443,4,0.0409585176401805,5,0.115180593979356,0.0223512173208087,0.720677428227417,"GBL","GBL-WW-CR5-1(yellowx10).tif",61,"non-sheltered","CR5"
"62",62,0.236290629785361,0.352567452255917,5,0.0715767418403606,5,0.145677980681171,0.0457683352778034,0.675777208718426,"GBL","GBL-WW-CR5-2(yellowx10).tif",62,"non-sheltered","CR5"
"63",63,0.212657145995535,0.396092902731007,5,0.0602419969425761,8,0.0943324303104384,NA,1.10210443499249,"GBL","GBL-WW-CR5-3(yellowx10).tif",63,"non-sheltered","CR5"
"64",64,0.200681155828392,0.378201941357535,7,0.0577449085832478,9,0.107174362212955,NA,1.01423787650116,"GBL","GBL-WW-CR5-4(yellowx10).tif",64,"non-sheltered","CR5"
"65",65,0.38377246251255,0.874577464546296,7,0.0879774414305617,11,0.145767319028206,0.113906465638451,6.09551148444352,"GBL","GBL-WW-SR-1.tif",65,"non-sheltered","SR"
"66",66,0.367752044387295,0.856936082424207,9,0.0776781673886498,8,0.136415443209483,0.0748451371308182,5.91285910480792,"GBL","GBL-WW-SR-2.tif",66,"non-sheltered","SR"
"67",67,0.339205249626586,0.631721315916863,9,0.0467725188485906,8,0.111437441125243,0.049587293066531,2.80308233085842,"GBL","GBL-WW-SR-4.tif",67,"non-sheltered","SR"
"68",68,0.397038408528925,0.70214447228629,8,0.0443705994728932,16,0.0997713742963833,0.120045516921563,3.30994319311203,"GBL","GBL-WW-SR-5.tif",68,"non-sheltered","SR"
